TIME,SUB/PUB,Topic,Payload
2022-10-17 20:24:25.067,PUB,/front/door-1/system/status,"b'{""enabled"": true, ""frontdoors"": [{""id"": ""door-1"", ""enabled"": true}]}'"
2022-10-17 20:24:28.721,PUB,/front/door-1/robot/wmr001/door/state,"b'{""block"": 1, ""building"": 204, ""floor"": 1, ""state"": 0}'"
2022-10-17 20:24:31.376,PUB,/front/door-1/robot/wmr001/door/state,"b'{""block"": 1, ""building"": 204, ""floor"": 1, ""state"": 1}'"
2022-10-17 20:24:50.001,SUB,/front/door/robot/wmr001/door/call,"b'{""id"": ""502c7836-4e0e-11ed-89e1-dcfb488dcda0"", ""block"": 1, ""building"": 204, ""floor"": 1, ""type"": 0}'"
2022-10-17 20:24:50.019,PUB,/front/door/robot/wmr001/door/open/call/response,"b'{""id"": ""502c7836-4e0e-11ed-89e1-dcfb488dcda0"", ""block"": 1, ""building"": 204, ""floor"": 1, ""result"": 0}'"
2022-10-17 20:25:40.808,SUB,/front/door/robot/wmr001/door/call,"b'{""id"": ""6e7517b9-4e0e-11ed-92a7-dcfb488dcda0"", ""block"": 1, ""building"": 204, ""floor"": 1, ""type"": 0}'"
2022-10-17 20:25:40.817,PUB,/front/door/robot/wmr001/door/open/call/response,"b'{""id"": ""6e7517b9-4e0e-11ed-92a7-dcfb488dcda0"", ""block"": 1, ""building"": 204, ""floor"": 1, ""result"": 0}'"
